SITUAÇÃO;MARCA/MODELO;ANO/MODELO;COR;DATA DES;MES;
FURTADO;VW/NOVA SAVEIRO RB MBVS;0;BRANCO;13/01/2020 03:00:00;JANEIRO
ROUBADO;YAMAHA/YBR125 FACTOR K1;2016;VERMELHO;13/01/2020 12:00:00;JANEIRO
ROUBADO;M.BENZ/ATEGO 1719;2018;BRANCO;13/01/2020 12:20:00;JANEIRO
FURTADO;I/VW SPACEFOX GII;2011;PRATA;13/01/2020 14:30:00;JANEIRO
FURTADO;I/VW SPACEFOX GII;2011;PRATA;13/01/2020 14:30:00;JANEIRO
FURTADO;HONDA/CBX 250 TWISTER;2005;VERMELHO;13/01/2020 16:00:00;JANEIRO
FURTADO;VW/GOL CLI;1996;VERMELHO;13/01/2020 16:31:00;JANEIRO
FURTADO;VW/GOL 1.6;2009;CINZA;13/01/2020 18:00:00;JANEIRO
ROUBADO;HONDA/CIVIC LXL;2013;PRETA;13/01/2020 19:30:00;JANEIRO
FURTADO;FORD/FIESTA;0;PRATA;13/01/2020 20:30:00;JANEIRO
FURTADO;VW/NOVA SAVEIRO CS;2014;BRANCO;13/01/2020 21:00:00;JANEIRO
FURTADO;I/HYUNDAI I30 2.0;0;PRATA;13/01/2020 23:40:00;JANEIRO
FURTADO;VW/VOYAGE CL MB;2015;PRATA;14/01/2020 00:00:00;JANEIRO
FURTADO;I/FIAT PALIO ATTRACT 1.0;2015;PRATA;14/01/2020 00:00:00;JANEIRO
FURTADO;FIAT/UNO ATTRACTIVE 1.0;2019;BRANCO;14/01/2020 00:00:00;JANEIRO
ROUBADO;SR/FACCHINI SRF LO;2010;BRANCO;14/01/2020 06:00:00;JANEIRO
ROUBADO;VOLVO/FH 400 4X2T;2011;BRANCO;14/01/2020 06:00:00;JANEIRO
ROUBADO;HONDA/NX-4 FALCON;2000;AZUL;14/01/2020 06:00:00;JANEIRO
ROUBADO;I/PEUGEOT 408 ALLURE;2013;PRETA;14/01/2020 12:00:00;JANEIRO
FURTADO;HONDA/XRE 300;2010;AMARELO;14/01/2020 12:00:00;JANEIRO
FURTADO;RENAULT/SANDERO EXP16SCE;2017;BRANCO;14/01/2020 12:00:00;JANEIRO
FURTADO;I/CHEVROLET AGILE LTZ;2011;PRATA;14/01/2020 18:00:00;JANEIRO
FURTADO;VW/FOX 1.6 GII;2014;BRANCO;14/01/2020 18:00:00;JANEIRO
FURTADO;FIAT/STRADA HD WK CC E;2020;BRANCO;15/01/2020 00:00:00;JANEIRO
FURTADO;FIAT/STRADA WORKING CD;2014;BRANCO;15/01/2020 00:00:00;JANEIRO
FURTADO;VW/GOL MI;1998;VERMELHO;15/01/2020 00:05:00;JANEIRO
FURTADO;HONDA/CG150 START;2015;VERMELHO;15/01/2020 00:30:00;JANEIRO
ROUBADO;VW/GOL TL MB S;2015;BRANCO;15/01/2020 01:00:00;JANEIRO
ROUBADO;HONDA/CG150 FAN ESDI;2011;PRETA;15/01/2020 01:20:00;JANEIRO
ROUBADO;HONDA/CG150 FAN ESDI;2011;PRETA;15/01/2020 01:20:00;JANEIRO
ROUBADO;HONDA/CG150 FAN ESDI;2011;PRETA;15/01/2020 01:20:00;JANEIRO
ROUBADO;HONDA/CG 150 TITAN KS;2008;PRETA;15/01/2020 01:20:00;JANEIRO
FURTADO;VW/FOX CONNECT MB;0;CINZA;15/01/2020 10:00:00;JANEIRO
FURTADO;VW/FOX 1.6;2005;CINZA;15/01/2020 12:00:00;JANEIRO
FURTADO;FORD/FIESTA FLEX;2008;PRATA;15/01/2020 15:00:00;JANEIRO
FURTADO;VW/GOL GL;1988;PRATA;15/01/2020 18:00:00;JANEIRO
FURTADO;JTA/SUZUKI EN125 YES;2008;VERMELHO;15/01/2020 19:00:00;JANEIRO
FURTADO;PEUGEOT/207PASSION XR S;2011;PRETA;15/01/2020 20:00:00;JANEIRO
ROUBADO;HYUNDAI/HB20 1.0M COMFOR;2019;CINZA;15/01/2020 22:20:00;JANEIRO
